filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20200626_221035.jpg,640,480,Speed Limit 35,24.0,160.0,123.0,264.0
IMG_20200626_221035.jpg,640,480,Green Traffic Light,140.0,165.0,196.0,281.0
IMG_20200626_221035.jpg,640,480,Stop Sign,215.0,164.0,287.0,234.0
IMG_20200626_221035.jpg,640,480,Red Traffic Light,303.0,166.0,348.0,268.0
IMG_20200626_221035.jpg,640,480,Straight Or Left Sign,367.0,165.0,423.0,227.0
IMG_20200626_221035.jpg,640,480,Straight Or Right Sign,436.0,162.0,487.0,222.0
IMG_20200626_221035.jpg,640,480,Speed Limit 25,496.0,161.0,550.0,234.0
IMG_20200626_221035.jpg,640,480,Speed Limit 50,555.0,164.0,611.0,229.0
IMG_20200807_125610.jpg,640,480,Straight Or Right Sign,148.0,159.0,210.0,230.0
IMG_20200807_125610.jpg,640,480,Speed Limit 25,236.0,162.0,318.0,258.0
IMG_20200807_125610.jpg,640,480,Green Traffic Light,343.0,167.0,398.0,288.0
IMG_20200807_125610.jpg,640,480,Speed Limit 35,428.0,164.0,522.0,269.0
IMG_20200626_220717.jpg,640,480,Speed Limit 25,218.0,199.0,284.0,279.0
IMG_20200626_220717.jpg,640,480,Stop Sign,310.0,201.0,375.0,260.0
IMG_20200626_220717.jpg,640,480,Red Traffic Light,399.0,205.0,443.0,302.0
IMG_20200807_125558.jpg,640,480,Stop Sign,269.0,66.0,407.0,205.0
IMG_20200624_192716.jpg,640,480,Speed Limit 35,169.0,138.0,236.0,222.0
IMG_20200624_192716.jpg,640,480,Straight Or Left Sign,263.0,143.0,332.0,208.0
IMG_20200624_192716.jpg,640,480,Speed Limit 25,357.0,145.0,410.0,208.0
IMG_20200624_192716.jpg,640,480,Green Traffic Light,446.0,146.0,482.0,226.0
IMG_20200626_220824.jpg,640,480,Speed Limit 35,121.0,173.0,226.0,303.0
IMG_20200626_220824.jpg,640,480,Speed Limit 50,255.0,184.0,366.0,310.0
IMG_20200626_220824.jpg,640,480,Green Traffic Light,405.0,193.0,479.0,344.0
IMG_20200807_130640.jpg,640,480,Speed Limit 25,44.0,127.0,95.0,186.0
IMG_20200807_130640.jpg,640,480,Straight Or Right Sign,254.0,146.0,289.0,182.0
IMG_20200624_223710.jpg,640,480,Straight Or Right Sign,7.0,164.0,77.0,227.0
IMG_20200624_223710.jpg,640,480,Green Traffic Light,133.0,164.0,175.0,249.0
IMG_20200624_223710.jpg,640,480,Speed Limit 50,210.0,161.0,272.0,238.0
IMG_20200624_223710.jpg,640,480,Stop Sign,310.0,167.0,375.0,231.0
IMG_20200624_223710.jpg,640,480,Speed Limit 35,403.0,165.0,465.0,234.0
IMG_20200624_223710.jpg,640,480,Speed Limit 25,491.0,170.0,564.0,249.0
IMG_20200624_223710.jpg,640,480,Red Traffic Light,578.0,172.0,627.0,259.0
IMG_20200807_130612.jpg,640,480,Speed Limit 25,77.0,94.0,190.0,225.0
IMG_20200807_130612.jpg,640,480,Straight Or Right Sign,447.0,127.0,496.0,190.0
IMG_20200624_193252.jpg,640,480,Speed Limit 35,112.0,162.0,156.0,214.0
IMG_20200624_193252.jpg,640,480,Red Traffic Light,168.0,165.0,195.0,219.0
IMG_20200624_193252.jpg,640,480,Straight Or Right Sign,211.0,166.0,246.0,200.0
IMG_20200624_193252.jpg,640,480,Speed Limit 50,253.0,171.0,297.0,220.0
IMG_20200624_193252.jpg,640,480,Stop Sign,314.0,175.0,356.0,213.0
IMG_20200624_193252.jpg,640,480,Speed Limit 25,368.0,173.0,403.0,214.0
IMG_20200624_193252.jpg,640,480,Green Traffic Light,416.0,177.0,440.0,223.0
IMG_20200624_193252.jpg,640,480,Straight Or Left Sign,444.0,184.0,484.0,220.0
IMG_20200701_204548.jpg,640,480,Speed Limit 25,120.0,100.0,296.0,309.0
IMG_20200701_204548.jpg,640,480,Straight Or Left Sign,336.0,107.0,502.0,274.0
IMG_20200807_125951.jpg,640,480,Straight Or Right Sign,122.0,104.0,278.0,253.0
IMG_20200807_125951.jpg,640,480,Speed Limit 25,359.0,109.0,511.0,295.0
IMG_20200807_125425.jpg,640,480,Stop Sign,24.0,127.0,141.0,246.0
IMG_20200807_125425.jpg,640,480,Speed Limit 50,207.0,124.0,331.0,273.0
IMG_20200807_125425.jpg,640,480,Straight Or Left Sign,374.0,127.0,499.0,245.0
IMG_20200807_125425.jpg,640,480,Red Traffic Light,527.0,123.0,624.0,301.0
IMG_20200807_130621.jpg,640,480,Speed Limit 25,31.0,109.0,101.0,185.0
IMG_20200807_130621.jpg,640,480,Straight Or Right Sign,280.0,135.0,317.0,177.0
IMG_20200807_125314.jpg,640,480,Green Traffic Light,311.0,77.0,364.0,199.0
IMG_20200807_130103.jpg,640,480,Speed Limit 50,147.0,76.0,315.0,275.0
IMG_20200807_130103.jpg,640,480,Straight Or Left Sign,449.0,111.0,564.0,241.0
IMG_20200624_175806.jpg,640,480,Red Traffic Light,198.0,168.0,248.0,276.0
IMG_20200624_175806.jpg,640,480,Speed Limit 50,303.0,164.0,376.0,253.0
IMG_20200624_175806.jpg,640,480,Green Traffic Light,386.0,169.0,422.0,250.0
IMG_20200624_175806.jpg,640,480,Straight Or Right Sign,477.0,167.0,528.0,214.0
IMG_20200626_220420.jpg,640,480,Green Traffic Light,93.0,194.0,162.0,334.0
IMG_20200626_220420.jpg,640,480,Straight Or Left Sign,209.0,194.0,307.0,286.0
IMG_20200626_220420.jpg,640,480,Speed Limit 50,318.0,195.0,417.0,309.0
IMG_20200626_220420.jpg,640,480,Speed Limit 35,449.0,194.0,549.0,307.0
IMG_20200624_192826.jpg,640,480,Red Traffic Light,20.0,94.0,121.0,318.0
IMG_20200624_192826.jpg,640,480,Straight Or Right Sign,217.0,99.0,357.0,238.0
IMG_20200624_192826.jpg,640,480,Speed Limit 50,370.0,135.0,468.0,247.0
IMG_20200624_192826.jpg,640,480,Stop Sign,511.0,137.0,604.0,223.0
IMG_20200624_221356.jpg,640,480,Stop Sign,31.0,127.0,72.0,186.0
IMG_20200624_221356.jpg,640,480,Speed Limit 50,77.0,128.0,128.0,207.0
IMG_20200624_221356.jpg,640,480,Speed Limit 35,132.0,130.0,185.0,213.0
IMG_20200624_221356.jpg,640,480,Speed Limit 25,188.0,133.0,247.0,223.0
IMG_20200624_221356.jpg,640,480,Green Traffic Light,260.0,142.0,301.0,252.0
IMG_20200624_221356.jpg,640,480,Red Traffic Light,315.0,141.0,364.0,263.0
IMG_20200624_221356.jpg,640,480,Straight Or Right Sign,379.0,140.0,457.0,226.0
IMG_20200624_221356.jpg,640,480,Straight Or Left Sign,504.0,152.0,606.0,244.0
IMG_20200624_175226.jpg,640,480,Speed Limit 50,19.0,182.0,88.0,263.0
IMG_20200624_175226.jpg,640,480,Green Traffic Light,133.0,191.0,167.0,267.0
IMG_20200624_175226.jpg,640,480,Stop Sign,191.0,190.0,250.0,247.0
IMG_20200624_175226.jpg,640,480,Speed Limit 35,284.0,192.0,337.0,260.0
IMG_20200624_175226.jpg,640,480,Speed Limit 25,345.0,195.0,394.0,256.0
IMG_20200624_175226.jpg,640,480,Straight Or Left Sign,419.0,197.0,478.0,257.0
IMG_20200624_175226.jpg,640,480,Red Traffic Light,482.0,203.0,517.0,279.0
IMG_20200624_175226.jpg,640,480,Straight Or Right Sign,556.0,201.0,622.0,258.0
IMG_20200807_130341.jpg,640,480,Green Traffic Light,132.0,150.0,191.0,305.0
IMG_20200807_130341.jpg,640,480,Speed Limit 35,302.0,134.0,420.0,285.0
IMG_20200624_221338.jpg,640,480,Stop Sign,20.0,176.0,88.0,241.0
IMG_20200624_221338.jpg,640,480,Speed Limit 50,99.0,176.0,168.0,259.0
IMG_20200624_221338.jpg,640,480,Speed Limit 35,180.0,173.0,247.0,258.0
IMG_20200624_221338.jpg,640,480,Speed Limit 25,254.0,175.0,324.0,258.0
IMG_20200624_221338.jpg,640,480,Green Traffic Light,336.0,180.0,383.0,281.0
IMG_20200624_221338.jpg,640,480,Red Traffic Light,396.0,177.0,443.0,280.0
IMG_20200624_221338.jpg,640,480,Straight Or Right Sign,456.0,172.0,526.0,243.0
IMG_20200624_221338.jpg,640,480,Straight Or Left Sign,558.0,178.0,626.0,246.0
IMG_20200626_220519.jpg,640,480,Speed Limit 25,50.0,159.0,165.0,285.0
IMG_20200626_220519.jpg,640,480,Stop Sign,205.0,163.0,302.0,258.0
IMG_20200626_220519.jpg,640,480,Straight Or Right Sign,340.0,165.0,439.0,263.0
IMG_20200626_220519.jpg,640,480,Red Traffic Light,493.0,173.0,571.0,317.0
IMG_20200807_125409.jpg,640,480,Stop Sign,190.0,155.0,252.0,216.0
IMG_20200807_125409.jpg,640,480,Speed Limit 50,272.0,156.0,333.0,227.0
IMG_20200807_125409.jpg,640,480,Straight Or Left Sign,344.0,159.0,394.0,211.0
IMG_20200807_125409.jpg,640,480,Red Traffic Light,397.0,160.0,435.0,238.0
IMG_20200807_125302.jpg,640,480,Green Traffic Light,286.0,74.0,365.0,258.0
IMG_20200626_221027.jpg,640,480,Speed Limit 35,23.0,165.0,81.0,237.0
